Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,43789,Blk 436A,BLK 436A,Bt Batok Rd
NAME_CHANGED,01/09/2025,43891,Aft Dairy Farm Cres,AFT DAIRY FARM CRES,Dairy Farm Rd
NAME_CHANGED,01/09/2025,43899,Bef Dairy Farm Cres,BEF DAIRY FARM CRES,Dairy Farm Rd
NAME_CHANGED,01/09/2025,43961,Aft Dairy Farm Hts,AFT DAIRY FARM HTS,Dairy Farm Rd
NAME_CHANGED,01/09/2025,43969,Bef Dairy Farm Hts,BEF DAIRY FARM HTS,Dairy Farm Rd
NAME_CHANGED,01/09/2025,43991,Opp Blk 635A,OPP BLK 635A,Woodlands Rd
NAME_CHANGED,01/09/2025,44029,Bt Panjang Stn Exit A/LRT,Bt Panjang Stn Exit A/Lrt,Upp Bt Timah Rd
NAME_CHANGED,01/09/2025,44291,Opp CCK Polyclinic,Opp Cck Polyclinic,Teck Whye Ave
NAME_CHANGED,01/09/2025,44299,CCK Polyclinic,Cck Polyclinic,Teck Whye Ave
NAME_CHANGED,01/09/2025,44499,Blk 429A CP,Blk 429A Cp,Choa Chu Kang Ave 4
NAME_CHANGED,01/09/2025,44691,Blk 485,BLK 485,Segar Rd
NAME_CHANGED,01/09/2025,44699,Blk 457,BLK 457,Segar Rd
NAME_CHANGED,01/09/2025,44831,Blk 519,BLK 519,Bt Panjang Ring Rd
NAME_CHANGED,01/09/2025,44839,West Spring Pr Sch,West Spring Pri Sch,Bt Panjang Ring Rd
NAME_CHANGED,01/09/2025,44861,Blk 636A,BLK 636A,Senja Rd
NAME_CHANGED,01/09/2025,44869,Bef Blk 629A CP,Bef Blk 629A Cp,Senja Rd
NAME_CHANGED,01/09/2025,44881,Blk 816B,BLK 816B,Keat Hong Link
NAME_CHANGED,01/09/2025,44911,Blk 450,BLK 450,Bt Panjang Ring Rd
NAME_CHANGED,01/09/2025,44941,Opp Blk 502,OPP BLK 502,KJE
NAME_CHANGED,01/09/2025,44949,Aft Blk 503,AFT BLK 503,KJE
NAME_CHANGED,01/09/2025,45009,Bt Panjang Int,BT PANJANG INT,Petir Rd
NAME_CHANGED,01/09/2025,45141,Aft W'lands Rd,Aft W'Lands Rd,Kranji Rd
NAME_CHANGED,01/09/2025,45149,Bef W'lands Rd,Bef W'Lands Rd,Kranji Rd
NAME_CHANGED,01/09/2025,45221,Aft W'lands Rd,Aft W'Lands Rd,Mandai Rd
NAME_CHANGED,01/09/2025,45229,Bef W'lands Rd,Bef W'Lands Rd,Mandai Rd
NAME_CHANGED,01/09/2025,45489,Bef Choa Chu Kang Lk,BEF CHOA CHU KANG LK,Choa Chu Kang Nth 5
NAME_CHANGED,01/09/2025,45491,Bef Choa Chu Kang Nth 5,BEF CHOA CHU KANG NTH 5,Stagmont Ring
NAME_CHANGED,01/09/2025,45581,Blk 325,BLK 325,Woodlands St 32
NAME_CHANGED,01/09/2025,46019,Aft W'lands Ctr Rd,Aft W'Lands Ctr Rd,Marsiling Rd
NAME_CHANGED,01/09/2025,46021,Bef W'lands Ind Pk D St 2,Bef W'Lands Ind Pk D St 2,Woodlands Rd
NAME_CHANGED,01/09/2025,46029,Aft W'lands Ind Pk D St 2,Aft W'Lands Ind Pk D St 2,Woodlands Rd
NAME_CHANGED,01/09/2025,46041,Opp GLOBALFOUNDRIES,Opp Globalfoundries,Woodlands Rd
NAME_CHANGED,01/09/2025,46049,GLOBALFOUNDRIES,Globalfoundries,Woodlands Rd
NAME_CHANGED,01/09/2025,46059,GLOBALFOUNDRIES/Aft BKE,Globalfoundries/Aft Bke,Woodlands Rd
NAME_CHANGED,01/09/2025,46069,W'lands Train Checkpt,W'Lands Train Checkpt,Woodlands Ctr Rd
NAME_CHANGED,01/09/2025,46091,Bef BKE,Bef Bke,Woodlands Ctr Rd
NAME_CHANGED,01/09/2025,46101,W'lands Checkpt,W'Lands Checkpt,Woodlands Crossing
NAME_CHANGED,01/09/2025,46109,W'lands Checkpt,W'Lands Checkpt,Woodlands Crossing
NAME_CHANGED,01/09/2025,46121,Opp Marsiling Lane Mkt/FC,Opp Marsiling Lane Mkt/Fc,Admiralty Rd
NAME_CHANGED,01/09/2025,46129,Marsiling Lane Mkt/FC,Marsiling Lane Mkt/Fc,Admiralty Rd
NAME_CHANGED,01/09/2025,46321,W'lands Civic Ctr,W'Lands Civic Ctr,Woodlands Ave 5
NAME_CHANGED,01/09/2025,46329,Opp W'lands Civic Ctr,Opp W'Lands Civic Ctr,Woodlands Ave 5
NAME_CHANGED,01/09/2025,46339,Bef W'lands Stn Exit 7,Bef W'Lands Stn Exit 7,Woodlands Ave 2
NAME_CHANGED,01/09/2025,46351,Woodhaven,WOODHAVEN,Woodlands Ave 1
NAME_CHANGED,01/09/2025,46381,Opp W'lands Ind Pk D St 1,Opp W'Lands Ind Pk D St 1,Woodlands Ave 3
NAME_CHANGED,01/09/2025,46389,Aft W'lands Ind Pk D St 1,Aft W'Lands Ind Pk D St 1,Woodlands Ave 3
NAME_CHANGED,01/09/2025,46481,Aft W'lands Ind Pk E6,Aft Woodlands Ind Pk E6,Woodlands Ave 9
NAME_CHANGED,01/09/2025,46631,W'lands Stn Exit 5,W'Lands Stn Exit 5,Woodlands Ave 2
NAME_CHANGED,01/09/2025,46639,W'lands Stn Exit 4,W'Lands Stn Exit 4,Woodlands Ave 2
NAME_CHANGED,01/09/2025,46669,W'lands Pr Sch,W'Lands Pr Sch,Woodlands Dr 50
NAME_CHANGED,01/09/2025,46721,Bef W'lands Ind Pk E7,Bef W'Lands Ind Pk E7,Woodlands Ave 8
NAME_CHANGED,01/09/2025,46729,Aft W'lands Ind Pk E7,Aft W'Lands Ind Pk E7,Woodlands Ave 8
NAME_CHANGED,01/09/2025,46739,Blk 782,BLK 782,Gambas Ave
NAME_CHANGED,01/09/2025,46759,Blk 676A,BLK 676A,Woodlands Ring Rd
